监测点编码,监测点名称,城市,经度,纬度
1001A,万寿西宫,北京,116.366,39.8673
1002A,定陵,北京,116.17,40.2865
1003A,东四,北京,116.434,39.9522
1004A,天坛,北京,116.434,39.8745
1005A,农展馆,北京,116.473,39.9716
1006A,官园,北京,116.361,39.9425
1007A,海淀区万柳,北京,116.315,39.9934
1008A,顺义新城,北京,116.72,40.1438
1009A,怀柔镇,北京,116.644,40.3937
1010A,昌平镇,北京,116.23,40.1952
1011A,奥体中心,北京,116.407,40.0031
1012A,古城,北京,116.225,39.9279
1013A,市监测中心,天津,117.151,39.097
1014A,南口路,天津,117.193,39.173
1015A,勤俭路,天津,117.145,39.1654
1016A,南京路,天津,117.184,39.1205
1017A,大直沽八号路,天津,117.237,39.1082
1018A,前进路,天津,117.202,39.0927
1019A,北辰科技园区,天津,117.1837,39.2133
1020A,天山路,天津,117.269,39.1337
1021A,跃进路,天津,117.307,39.0877
1023A,第四大街,天津,117.707,39.0343
1024A,永明路,天津,117.457,38.8394
1025A,航天路,天津,117.401,39.124
1026A,汉北路,天津,117.764,39.1587
1027A,团泊洼,天津,117.157,38.9194
1028A,化工学校,石家庄,,
1029A,职工医院,石家庄,114.4548,38.0513
1030A,高新区,石家庄,114.6046,38.0398
1031A,西北水源,石家庄,114.5019,38.1398
1032A,西南高教,石家庄,114.4586111,38.00583333
1033A,世纪公园,石家庄,114.5330556,38.01777778
1034A,人民会堂,石家庄,114.5214,38.0524
1035A,封龙山,石家庄,114.3541,37.9097
1036A,供销社,唐山,118.1662,39.6308
1037A,雷达站,唐山,118.1440,39.6430
1038A,物资局,唐山,118.1853,39.6407
1039A,陶瓷公司,唐山,118.2185,39.6679
1040A,十二中,唐山,118.1838,39.65782
1041A,小山,唐山,118.1997,39.6295
1042A,北戴河环保局,秦皇岛,119.5259,39.8283
1043A,第一关,秦皇岛,119.7624,40.0181
1044A,监测站,秦皇岛,119.6023,39.9567
1045A,市政府,秦皇岛,119.6070,39.9358
1046A,建设大厦,秦皇岛,119.5369,39.9419
1047A,环保局,邯郸,114.5129,36.61763
1048A,东污水处理厂,邯郸,114.5426,36.6164
1049A,矿院,邯郸,114.5035,36.5776
1050A,丛台公园,邯郸,114.4965,36.61981
1051A,游泳馆,保定,115.4930,38.8632
1052A,华电二区,保定,115.5223,38.8957
1053A,接待中心,保定,115.4713,38.9108
1054A,地表水厂,保定,115.4612,38.8416
1055A,胶片厂,保定,115.4420,38.8756
1056A,监测站,保定,115.5214,38.8707
1057A,人民公园,张家口,114.8985,40.8367
1058A,探机厂,张家口,114.892,40.79481
1059A,五金库,张家口,114.8814,40.8115
1060A,世纪豪园,张家口,114.9032,40.7688
1061A,北泵房,张家口,114.9040,40.8725
1062A,铁路,承德,117.9664,40.9161
1063A,中国银行,承德,117.9525,40.9843
1064A,开发区,承德,117.9630,40.9359
1065A,文化中心,承德,117.8184,40.9733
1066A,离宫,承德,117.9384,41.0112
1067A,药材公司,廊坊,116.6838,39.5178
1068A,开发区,廊坊,116.7729,39.5747
1069A,环境监测监理中心,廊坊,116.7150,39.5571
1070A,北华航天学院,廊坊,116.7464,39.5343
1071A,沧县城建局,沧州,116.8854,38.2991
1072A,电视转播站,沧州,116.8584,38.3254
1073A,市环保局,沧州,116.8709,38.3228
1074A,电机北厂,衡水,115.6951,37.7575
1075A,市监测站,衡水,115.6426,37.7379
1076A,市环保局,衡水,115.6906,37.7390
1077A,达活泉,邢台,114.4821,37.0967
1078A,邢师高专,邢台,114.5261,37.0533
1079A,路桥公司,邢台,114.5331,37.0964
1080A,市环保局,邢台,114.4854,37.0620
1081A,尖草坪,太原,112.522,37.8873
1082A,涧河,太原,112.573,37.9103
1083A,上兰,太原,112.434,38.0108
1084A,晋源,太原,112.469,37.7124
1085A,小店,太原,112.5583,37.7394
1086A,桃园,太原,112.5369,37.8692
1087A,坞城,太原,112.57,37.8195
1088A,南寨,太原,112.549,37.9854
1089A,金胜,太原,112.488,37.7805
1090A,呼市一监,呼和浩特,111.651,40.7579
1091A,小召,呼和浩特,111.658,40.8033
1092A,兴松小区,呼和浩特,111.659,40.8452
1093A,糖厂,呼和浩特,111.608,40.8144
1094A,如意水处理厂,呼和浩特,111.751,40.8369
1095A,二十九中,呼和浩特,111.7277,40.8062
1096A,工大金川校区,呼和浩特,111.551,40.7866
1097A,化肥厂生活区,呼和浩特,111.717,40.7612
1098A,森林路,沈阳,123.6836,41.9339
1099A,浑南东路,沈阳,123.535,41.7561
1100A,新秀街,沈阳,123.439,41.7089
1101A,沧海路,沈阳,123.284,41.7694
1102A,东陵路,沈阳,123.542,41.8336
1103A,陵东街,沈阳,123.428,41.8472
1104A,文化路,沈阳,123.41,41.765
1105A,小河沿,沈阳,123.478,41.7775
1106A,太原街,沈阳,123.3997,41.7972
1107A,南十东路,沈阳,123.3606,41.7806
1108A,京沈街,沈阳,123.3783,41.9228
1109A,甘井子,大连,121.61194444,38.973888889
1110A,周水子,大连,121.565,38.951111111
1111A,星海三站,大连,121.56388889,38.885
1112A,青泥洼桥,大连,121.63305556,38.911944444
1113A,傅家庄,大连,121.625,38.863888889
1114A,七贤岭,大连,121.51805556,38.856111111
1115A,旅顺,大连,121.25888889,38.808055556
1116A,金州,大连,121.7481,39.1311
1117A,开发区,大连,121.7769,39.0511
1118A,双D港,大连,121.9769,39.0631
1119A,食品厂,长春,125.323,43.9167
1120A,客车厂,长春,125.287,43.91
1121A,邮电学院,长春,125.2786,43.8400
1122A,劳动公园,长春,125.3649,43.8748
1123A,园林处,长春,125.325,43.8694
1124A,净月潭,长春,125.454,43.7878
1125A,甩湾子,长春,125.633,43.55
1126A,经开区环卫处,长春,125.417,43.8667
1127A,高新区管委会,长春,125.25,43.8167
1128A,岱山公园,长春,125.217,43.85
1129A,岭北,哈尔滨,126.542,45.755
1130A,松北商大,哈尔滨,126.561,45.8167
1131A,阿城会宁,哈尔滨,126.979,45.5422
1132A,南岗学府路,哈尔滨,126.599,45.7222
1133A,太平宏伟公园,哈尔滨,126.689,45.7733
1134A,道外承德广场,哈尔滨,126.635,45.7667
1135A,香坊红旗大街,哈尔滨,126.685,45.7319
1136A,动力和平路,哈尔滨,126.646,45.7258
1137A,道里建国路,哈尔滨,126.593,45.7478
1138A,平房东轻厂,哈尔滨,126.615,45.61
1139A,呼兰师专,哈尔滨,126.6106,45.9819
1140A,省农科院,哈尔滨,126.6206,45.6842
1141A,普陀,上海,121.4,31.238
1142A,十五厂,上海,121.478,31.2036
1143A,虹口,上海,121.467,31.3008
1144A,徐汇上师大,上海,121.412,31.1654
1145A,杨浦四漂,上海,121.536,31.2659
1146A,青浦淀山湖,上海,120.978,31.0935
1147A,静安监测站,上海,121.425,31.2261
1148A,浦东川沙,上海,121.703,31.1907
1149A,浦东新区监测站,上海,121.533,31.2284
1150A,浦东张江,上海,121.577,31.2071
1151A,迈皋桥,南京,118.803,32.1083
1152A,草场门,南京,118.749,32.0572
1153A,山西路,南京,118.7780,32.0723
1154A,中华门,南京,118.777,32.0144
1155A,瑞金路,南京,118.803,32.0314
1156A,玄武湖,南京,118.795,32.0775
1157A,浦口,南京,118.626,32.0878
1158A,奥体中心,南京,118.737,32.0092
1159A,仙林大学城,南京,118.907,32.105
1160A,上方山,苏州,120.561,31.2472
1161A,南门,苏州,120.628,31.2864
1162A,彩香,苏州,120.591,31.3019
1163A,轧钢厂,苏州,120.596,31.3264
1164A,吴中区,苏州,120.613,31.2703
1165A,苏州新区,苏州,120.543,31.2994
1166A,苏州工业园区,苏州,120.669,31.3097
1167A,相城区,苏州,120.641,31.3708
1168A,南郊,南通,120.913,31.96
1169A,虹桥,南通,120.86,32.0005
1170A,城中,南通,120.87,32.02
1171A,星湖花园,南通,120.94,31.93
1172A,紫琅学院,南通,120.81,32.0417
1173A,市环境监测站,连云港,119.176,34.5885
1174A,洪门派出所,连云港,119.141,34.5896
1175A,墟沟核电专家村,连云港,119.368,34.7507
1176A,开发区恒瑞医药公司,连云港,119.348,34.6984
1177A,黄河新村,徐州,117.167,34.2761
1178A,淮塔,徐州,117.192,34.2417
1179A,铜山兽医院,徐州,117.192,34.3083
1180A,新城区,徐州,117.256,34.2153
1181A,桃园路,徐州,117.244,34.2911
1182A,农科院,徐州,117.2933,34.2778
1183A,铜山区环保局,徐州,117.166,34.1806
1184A,城东财政所,扬州,119.46,32.3878
1185A,市监测站,扬州,119.404,32.41
1186A,邗江监测站,扬州,119.389,32.3761
1187A,第四医院,扬州,119.439,32.4033
1188A,雪浪,无锡,120.269,31.4867
1189A,黄巷,无锡,120.275,31.6219
1190A,曹张,无锡,120.294,31.56
1191A,漆塘,无锡,120.242,31.5031
1192A,东亭,无锡,120.354,31.5848
1193A,旺庄,无锡,120.354,31.5475
1194A,荣巷,无锡,120.245,31.5631
1195A,堰桥,无锡,120.288,31.6842
1196A,市监测站,常州,119.996,31.7586
1197A,城建学校,常州,119.933,31.7786
1198A,常工院,常州,119.962,31.8089
1199A,潞城,常州,120.0393,31.7638
1200A,武进监测站,常州,119.935,31.7039
1201A,安家,常州,119.905,31.9108
1202A,环境监测站,镇江,,
1203A,新区办事处,镇江,119.68,32.1883
1204A,职教中心,镇江,119.491,32.215
1205A,丹徒区监测站,镇江,119.43,32.1319
1206A,公园路,泰州,119.9,32.4867
1207A,莲花,泰州,119.9219,32.4611
1208A,高港区政府,泰州,119.882,32.303
1209A,留学生创业园,泰州,119.888,32.4639
1210A,钵池山,淮安,119.036,33.5981
1211A,北京南路,淮安,119.007,33.575
1212A,市监测站,淮安,118.989,33.6067
1213A,楚州区监测站,淮安,119.135,33.5039
1214A,淮阴区监测站,淮安,119.0122,33.6270
1215A,盐城电厂,盐城,120.118,33.4022
1216A,市监测站,盐城,120.156,33.3942
1217A,文峰中学,盐城,120.129,33.3719
1218A,开发区管委会,盐城,120.225,33.3947
1219A,市监测站,宿迁,118.2658,33.9600
1220A,宿迁学院,宿迁,118.293,33.9528
1221A,宿迁中学,宿迁,118.2442,33.9592
1222A,宿豫区环保局,宿迁,118.3214,33.9506
1223A,滨江,杭州,120.211,30.21
1224A,西溪,杭州,120.063,30.2747
1225A,千岛湖,杭州,119.026,29.635
1226A,下沙,杭州,120.348,30.3058
1227A,卧龙桥,杭州,120.127,30.2456
1228A,浙江农大,杭州,120.19,30.2692
1229A,朝晖五区,杭州,120.157,30.2897
1230A,和睦小学,杭州,120.12,30.3119
1231A,临平镇,杭州,120.301,30.4183
1232A,城厢镇,杭州,120.27,30.1819
1233A,云栖,杭州,120.088,30.1808
1234A,区环保大楼,宁波,121.836,29.9108
1235A,万里学院,宁波,121.56,29.8208
1236A,龙赛医院,宁波,121.713,29.9572
1237A,三江中学,宁波,121.554,29.8906
1238A,市政管理站,宁波,,
1239A,钱湖水厂,宁波,121.633,29.7736
1240A,太古小学,宁波,121.586,29.8633
1241A,市环境监测中心,宁波,121.524,29.8506
1242A,瓯海,温州,120.634,28.0089
1243A,南浦,温州,120.677,27.9939
1244A,龙湾,温州,120.76,27.9747
1245A,市站,温州,120.671,28.0167
1246A,袍江站,绍兴,120.598,30.0911
1247A,城东开发委,绍兴,120.605,29.9919
1248A,市环保站,绍兴,120.576,30.007
1249A,城北水厂,湖州,120.1,30.8867
1250A,城西水厂,湖州,120.07,30.8244
1251A,吉山新村,湖州,120.093,30.8617
1252A,清河小学,嘉兴,120.744,30.7946
1253A,嘉兴学院,嘉兴,120.726,30.7478
1254A,监测站,嘉兴,,
1255A,黄岩环保大楼,台州,121.273,28.6459
1256A,台州环保大楼,台州,121.419,28.6542
1257A,路桥田洋王,台州,121.377,28.5773
1258A,定海檀枫,舟山,122.122,30.0203
1259A,普陀东港,舟山,122.3094,29.9558
1260A,临城新区,舟山,122.19,29.9944
1261A,四中,金华,119.649,29.1131
1262A,十五中,金华,119.647,29.077
1263A,监测站,金华,119.686,29.1029
1264A,环保大楼,衢州,118.871,28.9404
1265A,实验学校,衢州,118.871,28.9664
1266A,衢州学院,衢州,118.855,28.9745
1267A,监测站大楼,丽水,119.914,28.4514
1268A,莲都小学,丽水,119.93,28.4586
1269A,余庄前,丽水,119.879,28.4231
1270A,明珠广场,合肥,117.196,31.7848
1271A,三里街,合肥,117.307,31.8766
1272A,琥珀山庄,合肥,117.259,31.8706
1273A,董铺水库,合肥,117.16,31.9051
1274A,长江中路,合肥,117.25,31.8572
1275A,庐阳区,合肥,117.266,31.9438
1276A,瑶海区,合肥,117.336,31.8585
1277A,包河区,合肥,117.302,31.7956
1278A,滨湖新区,合肥,117.278,31.7386
1279A,高新区,合肥,117.124,31.8516
1280A,鼓山,福州,119.389,26.0542
1281A,快安,福州,119.414,26.0258
1282A,师大,福州,119.303,26.0392
1283A,五四北路,福州,119.299,26.1092
1284A,杨桥西路,福州,119.268,26.0797
1285A,紫阳,福州,119.315,26.0753
1286A,溪东,厦门,118.15694444,24.818055556
1287A,洪文,厦门,118.15138889,24.476666667
1288A,鼓浪屿,厦门,118.06361111,24.445833333
1290A,省外办,南昌,115.893,28.6844
1291A,省林业公司,南昌,115.8886,28.6839
1292A,林科所,南昌,115.813,28.7442
1293A,京东镇政府,南昌,115.973,28.6969
1294A,建工学校,南昌,115.852,28.6869
1295A,象湖,南昌,115.892,28.6425
1296A,武术学校,南昌,115.742,28.7994
1297A,石化,南昌,115.912,28.6131
1298A,省站,南昌,115.931,28.6844
1299A,科干所,济南,116.988,36.6114
1300A,农科所,济南,116.93,36.67
1301A,开发区,济南,117.114,36.6739
1302A,济南化工厂,济南,116.989,36.6872
1303A,省种子仓库,济南,117.0684,36.6868
1304A,机床二厂,济南,116.943,36.6489
1305A,市监测站,济南,117.049,36.6622
1306A,长清党校,济南,116.734,36.5336
1307A,仰口,青岛,120.6659,36.2403
1308A,李沧区子站,青岛,120.3905,36.1851
1309A,市北区子站,青岛,120.3471,36.0699
1310A,市南区东部子站,青岛,120.4134,36.0654
1311A,四方区子站,青岛,120.3664,36.1032
1312A,市南区西部子站,青岛,120.2992,36.0543
1313A,崂山区子站,青岛,120.4587,36.0851
1314A,黄岛区子站,青岛,120.1964,36.3083
1315A,城阳区子站,青岛,120.4001,36.2403
1316A,烟厂,郑州,113.681,34.7545
1317A,郑纺机,郑州,113.641,34.7745
1318A,银行学校,郑州,113.675,34.8019
1319A,供水公司,郑州,113.5640,34.8020
1320A,经开区管委,郑州,113.727,34.7187
1321A,四十七中,郑州,113.7340,34.7190
1322A,市监测站,郑州,113.5991,34.7496
1323A,河医大,郑州,113.6356,34.7538
1324A,岗李水库,郑州,113.6113,34.9162
1325A,东湖梨园,武汉,114.3672,30.5719
1326A,汉阳月湖,武汉,114.2511,30.5514
1327A,汉口花桥,武汉,114.2836,30.6197
1328A,武昌紫阳,武汉,114.3006,30.5494
1329A,青山钢花,武汉,114.4272,30.6103
1330A,沌口新区,武汉,114.1525,30.4753
1331A,汉口江滩,武汉,114.3008,30.5947
1332A,东湖高新,武汉,114.3894,30.4822
1333A,吴家山,武汉,114.2131,30.6414
1334A,沉湖七壕,武汉,113.8531,30.2997
1335A,经开区环保局,长沙,113.0833,28.2325
1336A,高开区环保局,长沙,112.8872,28.2189
1337A,马坡岭,长沙,113.0792,28.2053
1338A,湖南师范大学,长沙,112.9394,28.1900
1339A,雨花区环保局,长沙,112.9956,28.1442
1340A,伍家岭,长沙,112.9792,28.2597
1341A,火车新站,长沙,113.0014,28.1944
1342A,天心区环保局,长沙,112.9844,28.1178
1343A,湖南中医药大学,长沙,112.8908,28.1308
1344A,沙坪,长沙,112.9958,28.3586
1345A,广雅中学,广州,113.235,23.1422
1346A,市五中,广州,113.261,23.105
1347A,天河职幼,广州,,
1348A,广东商学院,广州,113.348,23.0916
1349A,市八十六中,广州,113.433,23.105
1350A,番禺中学,广州,113.352,22.9477
1351A,花都师范,广州,113.215,23.3917
1352A,市监测站,广州,113.26,23.1331
1353A,九龙镇镇龙,广州,113.568,23.2783
1354A,麓湖,广州,113.281,23.1569
1355A,帽峰山森林公园,广州,113.589,23.5538
1356A,荔园,深圳,114.096,22.55
1357A,洪湖,深圳,114.117,22.5625
1358A,华侨城,深圳,113.987,22.5417
1359A,南油,深圳,113.923,22.5167
1360A,盐田,深圳,114.263,22.5908
1361A,龙岗,深圳,114.24,22.7267
1362A,西乡,深圳,113.891,22.5794
1363A,南澳,深圳,114.494,22.5422
1364A,葵涌,深圳,114.41,22.6342
1365A,梅沙,深圳,114.297,22.5978
1366A,观澜,深圳,114.085,22.75
1367A,吉大,珠海,113.574,22.2611
1368A,前山,珠海,113.495,22.2294
1369A,唐家,珠海,113.628,22.4251
1370A,斗门,珠海,113.299,22.2281
1371A,湾梁,佛山,113.134,23.0048
1372A,华材职中,佛山,113.105,23.0395
1373A,南海气象局,佛山,113.144,23.0467
1374A,顺德苏岗,佛山,113.292,22.8054
1375A,容桂街道办,佛山,113.257,22.7629
1376A,高明孔堂,佛山,112.844,22.8693
1377A,三水监测站,佛山,112.885,23.1572
1378A,三水云东海,佛山,112.863,23.1886
1379A,华柏园,中山,113.3769,22.5211
1380A,张溪,中山,113.3881,22.5497
1381A,紫马岭,中山,113.4075,22.5111
1382A,长江旅游区,中山,113.4411,22.4853
1383A,北街,江门,113.104,22.6069
1384A,西区,江门,113.074,22.5811
1385A,圭峰西,江门,113.024,22.5328
1386A,东湖,江门,113.0819,22.5931
1387A,东城主山,东莞,113.7819444,23.05361111
1388A,南城元岭,东莞,113.7461111,23.02777778
1389A,莞城梨川,东莞,113.7480556,23.06
1390A,东城石井,东莞,113.7944444,23.01277778
1391A,南城西平,东莞,113.7383333,22.96583333
1392A,河南岸金山湖子站,惠州,114.4183,23.0528
1393A,下埔横江三路子站,惠州,114.4053,23.0800
1394A,江北云山西路子站,惠州,114.4103,23.1142
1395A,惠阳区承修路船湖子站,惠州,114.3244,22.8172
1396A,大亚湾管委会子站,惠州,114.5317,22.7422
1397A,睦岗子站,肇庆,112.427,23.0706
1398A,城中子站,肇庆,112.471,23.0528
1399A,坑口子站,肇庆,112.565,23.1617
1400A,七星岩子站,肇庆,112.4722,23.0786
1401A,振宁花园,南宁,108.301,22.7875
1402A,北湖,南宁,108.316,22.8561
1403A,市监测站,南宁,108.321,22.8225
1404A,大自然花园,南宁,108.383,22.805
1405A,仙葫,南宁,108.439,22.7906
1406A,区农职院,南宁,108.239,22.8464
1407A,英华嘉园,南宁,108.328,22.735
1408A,沙井镇街道办,南宁,108.244,22.7833
1409A,东寨港,海口,110.576,19.9507
1410A,海南大学,海口,110.3232,20.0574
1411A,秀英海南医院,海口,110.283,20.0053
1412A,海南师范大学,海口,110.338,19.9969
1413A,龙华路环保局宿舍,海口,110.33,20.0356
1414A,缙云山,重庆,106.379,29.8272
1415A,高家花园,重庆,106.46,29.5736
1416A,天生,重庆,106.424,29.8264
1417A,两路,重庆,106.626,29.7228
1418A,虎溪,重庆,106.296,29.5983
1419A,南坪,重庆,106.54,29.5186
1420A,唐家沱,重庆,106.65,29.6219
1421A,茶园,重庆,106.634,29.4892
1422A,白市驿,重庆,106.364,29.4822
1423A,解放碑,重庆,106.571,29.5642
1424A,杨家坪,重庆,106.512,29.5164
1425A,空港,重庆,106.617,29.7125
1426A,新山村,重庆,106.468,29.4892
1427A,礼嘉,重庆,106.562,29.6453
1428A,蔡家,重庆,106.452,29.709
1429A,鱼新街,重庆,106.513,29.389
1430A,南泉,重庆,106.591,29.4272
1431A,金泉两河,成都,103.97275,30.72358333
1432A,十里店,成都,104.176,30.6872
1433A,三瓦窑,成都,104.079,30.5706
1434A,沙河铺,成都,104.1113889,30.63
1435A,梁家巷,成都,104.074,30.685
1436A,草堂寺,成都,104.026,30.6544
1437A,君平街,成都,104.054,30.6578
1438A,灵岩寺,成都,103.613,31.0283
1439A,马鞍山,贵阳,106.6856,26.6029
1440A,市环保站,贵阳,106.6971,26.5689
1441A,鉴湖路,贵阳,106.6243,26.6266
1442A,燕子冲,贵阳,106.7487,26.6343
1443A,碧云窝,贵阳,106.6554,26.4364
1444A,中院村,贵阳,106.6948,26.5155
1445A,红边门,贵阳,106.7105,26.6009
1446A,新华路,贵阳,106.7164,26.5697
1447A,太慈桥,贵阳,106.6867,26.5495
1449A,关上,昆明,102.743,25.0124
1450A,呈贡新区,昆明,102.821,24.8885
1451A,西山森林公园,昆明,102.625,24.9624
1452A,龙泉镇,昆明,102.728,25.0836
1453A,东风东路,昆明,102.722,25.0405
1454A,金鼎山,昆明,102.681,25.067
1455A,碧鸡广场,昆明,102.638,25.0359
1456A,八廓街,拉萨,91.1319,29.6514
1457A,市环保局,拉萨,91.1221,29.6747
1458A,区监测站,拉萨,91.0874,29.6475
1459A,西藏大学,拉萨,91.1774,29.6541
1460A,区辐射站,拉萨,90.9798,29.6588
1461A,拉萨火车站,拉萨,91.0834,29.6292
1462A,高压开关厂,西安,108.882,34.2749
1463A,兴庆小区,西安,108.993,34.2629
1464A,纺织城,西安,109.06,34.2572
1465A,小寨,西安,108.94,34.2324
1466A,市人民体育场,西安,108.954,34.2713
1467A,高新西区,西安,108.883,34.2303
1468A,经开区,西安,108.935,34.3474
1469A,长安区,西安,108.906,34.1546
1470A,阎良区,西安,109.2,34.6575
1471A,临潼区,西安,109.2186,34.3731
1472A,草滩,西安,108.8690,34.3780
1473A,曲江文化产业集团,西安,108.985,34.1978
1474A,广运潭,西安,109.043,34.3274
1475A,职工医院,兰州,103.712,36.0756
1476A,兰炼宾馆,兰州,103.631,36.1031
1477A,榆中兰大校区,兰州,104.148,35.940
1478A,生物制品所,兰州,103.841,36.0725
1479A,铁路设计院,兰州,103.831,36.0464
1480A,市环境监测站,西宁,101.748,36.6428
1481A,省医药仓库,西宁,101.749,36.6922
1482A,四陆医院,西宁,101.834,36.5819
1483A,第五水厂,西宁,101.524,36.6867
1484A,贺兰山马莲口,银川,105.9512,38.6016
1485A,银湖巷,银川,106.2682,38.4744
1486A,宁安大街,银川,106.217,38.4536
1487A,宁化生活区,银川,106.0715,38.4858
1488A,贺兰山东路,银川,106.2328,38.4975
1489A,学院路,银川,106.1358,38.5036
1490A,监测站,乌鲁木齐,87.5801,43.8303
1491A,收费所,乌鲁木齐,87.6046,43.768
1492A,新疆农科院农场,乌鲁木齐,87.4754,43.9469
1493A,铁路局,乌鲁木齐,87.5525,43.8711
1494A,三十一中学,乌鲁木齐,87.6432,43.831
1495A,七十四中学,乌鲁木齐,87.4171,43.8729
1496A,米东区环保局,乌鲁木齐,87.6444,43.962
1508A,板塘,湘潭,112.9433,27.8614
1511A,市监测站,湘潭,112.9118,27.8403
1512A,江麓,湘潭,112.8937,27.8728
1513A,岳塘,湘潭,112.9227,27.8159
1514A,科大,湘潭,112.9074,27.9119
1515A,天台山庄,株洲,113.135,27.8244
1518A,株冶医院,株洲,113.095,27.8867
1519A,市四中,株洲,113.167,27.8667
1520A,火车站,株洲,113.143,27.8381
1524A,市监测站,株洲,113.1300,27.8528
1552A,桐木岭,贵阳,106.805,26.3003
1559A,大京风景区,株洲,113.251,27.8336
1562A,昭山,湘潭,113.0048,27.9153
1564A,韶山,湘潭,112.4876,27.9164
1585A,市环境监测站,包头,109.8756,40.6532
1586A,包百大楼,包头,109.8104,40.6575
1587A,东河城环局,包头,110.0067,40.5905
1588A,青山宾馆,包头,109.8538,40.6821
1589A,惠龙物流,包头,109.8654,40.6288
1590A,东河鸿龙湾,包头,110.0377,40.5546
1591A,综合楼,鄂尔多斯,110.0023,39.8129
1592A,巴音孟克林场办事处,鄂尔多斯,109.9486,39.8261
1593A,康泽苑,鄂尔多斯,109.7736,39.5986
1594A,华泰汽车城,鄂尔多斯,109.8119,39.5989
1595A,奥林花园,鄂尔多斯,109.9734,39.7884
1596A,学府南路,营口,122.2414,40.6592
1597A,大庆路,营口,122.2703,40.7094
1598A,镜湖西路,营口,122.2150,40.6511
1599A,西炮台,营口,122.1658,40.6789
1600A,江湾东路,丹东,124.3303,40.0625
1601A,临江后街,丹东,124.4256,40.1503
1602A,元宝山,丹东,124.3933,40.1461
1603A,民主桥,丹东,124.3678,40.1194
1604A,开发区,盘锦,122.0247,41.1556
1605A,兴隆台,盘锦,122.0539,41.0903
1606A,新生街道,盘锦,121.8350,41.1042
1607A,龙港区,葫芦岛,120.9092,40.7136
1608A,化工街,葫芦岛,120.8392,40.7514
1609A,新区,葫芦岛,120.8478,40.7150
1610A,东城区,葫芦岛,120.8631,40.7736
1611A,涂山街,泉州,118.5819,24.9117
1612A,津头埔,泉州,118.5972,24.8978
1613A,万安,泉州,118.6663,24.9424
1614A,清源山,泉州,118.6108,24.9617
1615A,植物油厂,莱芜,117.6850,36.2050
1616A,技术学院,莱芜,117.6789,36.2289
1617A,日升国际,莱芜,117.7150,36.2081
1618A,沂河小区,临沂,118.3418,35.0573
1619A,鲁南制药厂,临沂,118.2939,35.0622
1620A,新光毛纺厂,临沂,118.2764,34.9817
1621A,河东保险公司,临沂,118.4023,35.0896
